date,macd,macdsignal,macdhist,mom,sma20,sma50,sma100,sma200,rsi,stddev,close,symbol,volatility,rsi_value
2014-06-24,0.0,0.0,0.0,0.07000000000000028,40.6,39.78,38.75,36.71,61.1,0.00487682159017969,41.23,MSFT,7.74171426962761,3
2014-06-25,0.0,0.0,0.0,0.37999999999999545,40.7,39.84,38.8,36.77,63.94,0.005438835982765007,41.51,MSFT,8.633884459239473,3
2014-06-26,0.0,0.0,0.0,0.21000000000000085,40.77,39.89,38.86,36.82,58.82,0.006385482080122264,41.2,MSFT,10.136638551157759,3
2014-06-27,0.0,0.0,0.0,0.5600000000000023,40.83,39.93,38.92,36.87,64.03,0.00792379353742115,41.72,MSFT,12.578632284142284,3
2014-06-30,0.0,0.0,0.0,-0.28999999999999915,40.88,39.97,38.98,36.91,56.09,0.009518462482261507,41.18,MSFT,15.1100907550575,3
2014-07-01,0.0,0.0,0.0,0.12000000000000455,40.95,40.01,39.04,36.96,57.86,0.009421328321183711,41.35,MSFT,14.955895054645056,3
2014-07-02,0.0,0.0,0.0,-0.12999999999999545,41.03,40.06,39.1,37.01,58.18,0.008926896505254946,41.38,MSFT,14.17100887950971,3
2014-07-03,0.0,0.0,0.0,0.0799999999999983,41.06,40.1,39.16,37.06,56.64,0.008358769204124586,41.28,MSFT,13.269134748419368,3
2014-07-07,0.0,0.0,0.0,-0.25,41.09,40.15,39.21,37.1,58.87,0.006405552482586506,41.47,MSFT,10.168499327337774,3
2014-07-08,0.0,0.0,0.0,0.0799999999999983,41.11,40.19,39.26,37.15,55.47,0.0037270860676363008,41.26,MSFT,5.916565709939588,3
2014-07-09,0.0,0.0,0.0,-0.20000000000000284,41.14,40.21,39.3,37.19,53.72,0.00333643349312292,41.15,MSFT,5.296423973225867,4
2014-07-10,0.0,0.0,0.0,-0.21000000000000085,41.18,40.24,39.35,37.24,54.0,0.0033134801205407455,41.17,MSFT,5.259986623864282,4
2014-07-11,0.0,0.0,0.0,0.28999999999999915,41.25,40.28,39.4,37.29,59.38,0.005264197713509821,41.57,MSFT,8.356654801333097,3
2014-07-14,0.0,0.0,0.0,0.14999999999999858,41.3,40.33,39.45,37.34,60.01,0.0050225493111429025,41.62,MSFT,7.973049854905734,3
2014-07-15,0.0,0.0,0.0,0.6600000000000037,41.35,40.39,39.5,37.4,63.65,0.004566937374960393,41.92,MSFT,7.249788328410803,3
2014-07-16,0.0,0.0,0.0,2.3800000000000026,41.46,40.49,39.56,37.45,76.18,0.013948885145086666,43.53,MSFT,22.143168696301466,2
2014-07-17,1.0,0.0,0.0,2.809999999999995,41.61,40.6,39.63,37.51,78.42,0.012925818692105918,43.98,MSFT,20.519101050733454,2
2014-07-18,1.0,0.0,0.0,2.5600000000000023,41.76,40.71,39.7,37.57,79.12,0.013515334000706519,44.13,MSFT,21.454927591107065,2
2014-07-21,1.0,1.0,0.0,2.6600000000000037,41.92,40.82,39.78,37.63,79.83,0.013185266259003285,44.28,MSFT,20.930961294896193,2
2014-07-22,1.0,1.0,0.0,2.3500000000000014,42.06,40.93,39.85,37.69,79.64,0.014092018700147351,44.27,MSFT,22.370386170876948,2
2014-07-23,1.0,1.0,0.0,0.7800000000000011,42.21,41.03,39.92,37.74,79.85,0.0036708194274065347,44.31,MSFT,5.8272451876453255,2
2014-07-24,1.0,1.0,0.0,-0.12999999999999545,42.33,41.11,39.98,37.8,70.76,0.00510199750907289,43.85,MSFT,8.099169959206725,2
2014-07-25,1.0,1.0,0.0,-0.17999999999999972,42.47,41.19,40.05,37.86,71.52,0.00494280109811538,43.95,MSFT,7.846453491402158,2
2014-07-28,1.0,1.0,0.0,-0.8599999999999994,42.55,41.28,40.11,37.92,62.29,0.006055617844132393,43.42,MSFT,9.612995310251645,3
2014-07-29,1.0,1.0,0.0,-0.9299999999999997,42.66,41.36,40.17,37.97,61.01,0.00589194705789563,43.34,MSFT,9.353175991890312,3
2014-07-30,1.0,1.0,0.0,-1.2700000000000031,42.75,41.44,40.22,38.02,56.34,0.005336303087033788,43.04,MSFT,8.4711185332546,3
2014-07-31,1.0,1.0,0.0,-1.230000000000004,42.81,41.5,40.28,38.07,50.51,0.005233805493977132,42.62,MSFT,8.308408648528232,4
2014-08-01,0.0,1.0,0.0,-1.6200000000000045,42.86,41.55,40.33,38.12,46.9,0.0034266383050650597,42.33,MSFT,5.439619672902017,4
